type, orderno, description, value, qty
PRD, 24046, "Unknown Wilko Order502", 2.91, 1
PRD, 2772, "Tesco Parsnip Croquettes 220g", 5.72, 5
PRD, 2945, "Sainsbury's Low Price Mild Coloured Cheddar", 20.60, 5
PRD, 3245, "HiLife® Pouch Dogfood Ocean Fish Supper 150g", 20.18, 9
PRD, 28310, "JS Margarita", 10.64, 3
PRD, 11008, "Nestlé Shreddies 500g", 14.61, 9
PRD, 10870, "Tesco Healthy Living 2 Strawberry Cheesecake Slices", 6.67, 4
PRD, 21174, "Hendricks Gin 70cl", 1.45, 5
PRD, 10874, "Ltd. Edition Mexican Chicken Fajitas 415g", 16.12, 5
PRD, 61880, "5019503011920 Quorn 6 Sausage Rolls 300g", 19.28, 8
PRD, 5334, "Tesco Swiss Style Muesli 750g", 12.82, 1
PRD, 13212, "Tesco to share... Onion & Garlic Dip 200g", 25.73, 9
PRD, 10674, "Adidas Blue Challenge Body Spray 150ml", 8.22, 4
PRD, 20593, "BaByliss 2085U 230 Pro Straightener - 3030053020851", 4.15, 5
PRD, 9664, "Weight Watchers® Soft Cheese with Roasted Onion & Chive 200g", 13.27, 6
PRD, 1782, "Sainsbury's Salmon Fillet 480g", 15.06, 9
PRD, 12021, "The Food Doctor Spicy Seed Mix 50g", 15.88, 8
PRD, 11064, "Head & Shoulders Anti-Dandruff Shampoo Sensitive 500ml", 5.16, 2
PRD, 5129, "Johnsons SunCare 10 200ml", 8.38, 3
PRD, 7265, "Tesco Fresh Turkey Breast Joint Serves 4-6 People", 23.34, 3
PRD, 7318, "Don Tomas Corona Cigar", 7.26, 2
PRD, 9381, "Tesco Organic 6 Wholemeal Pitta", 9.03, 3
PRD, 42325, "Happy Shopper Clingfilm 35cm x 10mtr", 25.91, 4
PRD, 48339, "Asda Frascati", 24.91, 8
PRD, 9252, "Iams Adult 1+ Rich in Chicken 10kg", 4.30, 7
PRD, 76333, "SHOPPING FEE", 16.24, 4
PRD, 3876, "Sainsbury's Shortcrust Pastry Chicken & Mushroom Pie 520g", 2.48, 8
PRD, 1817, "Rio Snacks Fiesta Cracker Mix 400g", 8.83, 5
CR, 11625, 43.78
PRD, 89259, "8727900252767 Philips Spoton Battery LED Silver", 6.87, 2
PRD, 4573, "Bendicks Bittermints 400g", 2.34, 8
PRD, 6263, "Tesco 16 Christmas Cards Snowy Doorway", 12.81, 8
PRD, 20732, "GOSH EYE CATCHING 2STEP MASCARA BLACK", 6.56, 8
PRD, 12362, "Tesco Lilac Body Spray 75ml", 2.19, 6
PRD, 71860, "5012136008503 Hereford Orchard Farmhouse Dry Cider 2.5 Litres", 8.96, 3
PRD, 47670, "Sainsbury's Group Shot", 12.97, 1
PRD, 9881, "Sainsbury's Taste the Difference 4 All Butter Croissants", 5.09, 7
PRD, 3161, "Nescafe Original 50g ", 24.12, 3
PRD, 7129, "Taylors of Harrogate Yorkshire Tea Ginger Cake", 15.93, 7
PRD, 5265, "Camomile 4 x 20 x 1.5g", 7.37, 6
PRD, 6462, "Asda Rich Roast Coffee Granules 200g", 3.21, 3
PRD, 42962, "Product upgrade for 5027875000060 FORREST THE BAKER BABY SOFTIES SCOT 6'S", 18.07, 5
PRD, 2961, "Tesco Steamed Sticky Toffee Puddings 220g", 21.97, 1
PRD, 2978, "Tesco Perthshire Mountain Spring Scottish Carbonated Natural Mineral W", 25.87, 6
PRD, 7215, "DOLMIO EXPRESS FILLED PASTA CHEESE & SUNDRIED TOMATO POUCH 220 G", 14.25, 3
PRD, 1887, "Andrew Peace Wines Mighty Murray White Case 6 x 75cl", 19.20, 8
PRD, 71581, "5060146370080 Moma Oatie Breakfast - Apple & Peach- angled ID shot", 8.41, 8
PRD, 48199, "5011295010068 HS UHT Cream Single pm63 200ml", 22.19, 5
PRD, 7083, "Tesco Christmas Really Thick Brandy Cream 250ml", 2.88, 4
PRD, 78952, "Hosting Renewals for July", 10.57, 7
PRD, 10859, "KP Simply 5 Pack Unsalted 5 x 30g", 5.93, 6
PRD, 12491, "Tesco Free Range Skinless Breast Fillets 220g-540g", 5.68, 3
PRD, 11770, "Durex Play Tingle 50ml", 3.17, 5
PRD, 69439, "MARS CHOCOLATE MANAGEMENT FEE JAN 2010 - 2011 - 2ND AND FINAL ORDER OF 2", 23.56, 3
PRD, 23992, "Bratz Fabulous Biscuits", 21.02, 5
PRD, 5471, "Schwartz Tomato & Basil Dressing Mix 8g", 13.75, 5
PRD, 10347, "Wrigley's Spearmint Chewing Gum 10 Sticks", 8.03, 4
PRD, 31301, "Tesco Dry Tickly Cough Syrup", 15.08, 1
PRD, 6457, "Robinsons Fruit Shoot Apple 4 x 200ml", 10.50, 1
PRD, 13433, "Tesco Value Boys' Navy Jumper (1)", 14.26, 5
PRD, 2699, "Matey Funwash 200ml", 10.10, 5
PRD, 12217, "Unknown - Brandbank Image supplied", 3.05, 1
PRD, 4318, "Royal Emblem Pale Cream 1.5 Litres", 25.16, 1
PRD, 4337, "Tesco Ciabatta Rolls 4 Pack", 8.79, 7
PRD, 5047, "Magnum Light 84g", 20.86, 8
PRD, 4150, "Tetley for Caterers 2 Cup 275s", 18.40, 5
PRD, 26797, "Evergreen Grass Seed 25% Free 12x625g", 4.84, 5
PRD, 68284, "5055203900348 Livwell  2 ciabatta Rolls 160", 22.62, 3
PRD, 6678, "Cadbury Roses 1.5kg Tin", 5.57, 4
PRD, 63097, "5011037468041 Shaws Carvery Chicken Breast 140g", 12.81, 1
PRD, 12328, "Surge Protected Extension Lead 4 Socket 2M 13 Amp", 8.03, 4
PRD, 11225, "Fifi and Flowertots Easter Bucket of Fun", 4.60, 1
PRD, 1097, "Trill Millet Spray 4 Pieces 80g", 14.61, 8
PRD, 12154, "Disney Cars Lunch Bag", 8.69, 5
PRD, 4711, "Sainsbury's 2 100% Beef Half Pounder Burgers 454g", 3.96, 7
PRD, 12851, "Tesco Peppermint Chewing Gum 20 Pieces", 7.22, 9
PRD, 28502, "Dazzle Toez", 8.94, 6
PRD, 10525, "Sainsbury's SO Organic Arborio Risotto Rice 500g", 15.50, 5
PRD, 12015, "Tesco Finest All Butter Cheese Palmiers 100g", 9.14, 6
PRD, 5313, "Beringer Stone Cellars Sauvignon Blanc", 10.03, 3
PRD, 12979, "Fost Twist 330ml Btl", 4.22, 5
PRD, 46826, "10068069 Tesco Finest Christmas Festive Fruit and Nut Selection 400g", 14.71, 7
PRD, 9625, "Sainsbury's Teddy Bear Cake Celebration Cake", 3.62, 3
PRD, 3147, "Tesco Finest Hot Smoked Salmon Pie 450g", 16.36, 6
PRD, 6584, "Crosse & Blackwell Cranberry Sauce 195g", 3.28, 2
PRD, 4931, "Scholl Toe Protectos Small", 9.24, 3
PRD, 6549, "Asda 4 Cheese & Bacon Beef Quarter Pounders 454g", 10.88, 7
PRD, 43947, "Upgrade 5011581029637 W/Cameron Detectbl B/Plstrs 120s", 20.25, 5
PRD, 24046, "Unknown Wilko Order204", 16.84, 9
PRD, 10308, "Ambrosia Brandy Custard 500g", 13.61, 6
PRD, 6170, "Rowats Crunchy Mixed Pickle 710g", 2.41, 1
PRD, 59065, "5060117000282  Weight Watchers Mandarin and Lemon Flavour Sparkling Spring Water Drink 6pk", 5.89, 7
PRD, 1503, "Sainsbury's De-Stress Liquid Wick Green Tea & Jasmine", 12.17, 2
PRD, 58584, "Tesco Halloween DYO Cupcakes", 9.03, 4
PRD, 1435, "Sainsbury's Tuna & Sweetcorn 300g", 23.37, 8
PRD, 6693, "Tesco My Baby's 2 Wide Neck Bottles 260ml", 21.40, 5
PRD, 1492, "Basildon Bond 20 Blue Envelopes", 3.21, 3
PRD, 1108, "Spier Cabernet Sauvignon 2000 750ml", 22.80, 3
PRD, 24046, "Unknown Wilko Order2", 16.91, 9
PRD, 5803, "Sainsbury's 25 Danish Salami Slices 200g", 25.04, 9
PRD, 9164, "Tesco Organic Melon Class 11", 18.54, 5
PRD, 13140, "SEEDS OF CHANGE Jalfrezi with Spices & Crispy Peppers 350g", 25.26, 3
PRD, 5471, "Schwartz Lemon & Lime Dressing Mix 12g", 10.15, 6
PRD, 2675, "Sainsbury's Jacket Potato with Garlic Mushrooms 350g", 9.83, 1
PRD, 23756, "testProduct288", 4.23, 9
PRD, 12513, "Tesco Tomato Juice From Concentrate 1l", 1.59, 6
PRD, 5259, "Ben & Jerry's Karamel Sutra Ice Cream 500ml", 6.73, 4
PRD, 8481, "Felix Foil Tray Kitten Multipack 12 x 100g", 12.54, 9
PRD, 1898, "Toblerone Dark Chocolate 400g", 17.43, 8
PRD, 6803, "Asda Spaghetti Loops & Sausages 410g", 17.12, 1
PRD, 86951, "5014734795182 Product Renewal Red Kooga Korean Ginseng & Ginkgo Biloba 32 Tablets", 15.95, 3
PRD, 6802, "Hartley's Reduced Sugar Raspberry Jam 340g", 1.62, 3
PRD, 9210, "Sainsbury's Taste The Difference Strawberry Swirl Farmhouse Ice Cream ", 18.84, 1
PRD, 12082, "Sainsbury's Lentilles Vertes 500g", 14.37, 4
PRD, 11214, "Café Met® Chocolatte Milk Drink 290ml", 1.07, 7
PRD, 13437, "Unknown - JS New products & hosting", 4.33, 9
PRD, 71379, "5099111000318 Killowen Bio-Live Yogurt Hazelnut 125g", 9.93, 2
PRD, 7466, "Life Free From Egg Free Mayonnaise 230g", 6.37, 4
PRD, 12910, "Sainsbury's Pure Clear Blended Honey 454g", 24.30, 5
PRD, 13208, "PERFECT FIT Sensitive", 24.53, 5
PRD, 8627, "Lenor Sleep Sensations Regular 3L", 16.43, 4
PRD, 10573, "Tesco Still Spring Water Hint of Clementine 1.5 Litre", 15.45, 7
PRD, 2353, "New Covent Garden Food Co. Spicy Corn Chowder Soup 600g", 4.15, 2
PRD, 45297, "7615400743315 Mr Muscle Drain Cleaner 5L", 12.52, 6
PRD, 2477, "Sainsbury's Bunny Gingerbread Biscuit (Counter)", 22.00, 5
PRD, 78879, "0017854035393  Mr Men All In One Gift 400Ml", 6.16, 8
PRD, 13102, "Wakama Brown Rice Crackers With Sesame Seeds 75g", 2.98, 5
PRD, 6359, "Lenor Spring Awakening 750ml", 2.77, 8
PRD, 12555, "Sea Isle Gungo Peas 2kg", 24.86, 7
PRD, 13451, "Unknown - JS New products & hosting", 19.77, 2
PRD, 3604, "Cynara Artichoke 30 Capsules", 11.37, 8
CR, 37508, 138.27
PRD, 1122, "Sunblest 4 Fruited Muffins", 22.33, 1
PRD, 12626, "Pom Wonderful 236ml", 1.95, 8
PRD, 24046, "Unknown Wilko Order624", 21.92, 3
PRD, 9453, "Muggia Assortment of Italian Cakes and Cookies 600g", 4.61, 3
PRD, 13272, "Unknown - Brandbank Data capture Image capture", 24.47, 5
PRD, 3316, "Fairy  Dishwasher Tablets x 16", 8.51, 1
PRD, 31564, "Upgrade", 8.74, 1
PRD, 11247, "Tesco Multigrain Hoops 375g", 16.67, 1
PRD, 11597, "Best Friends Slip-n-Snack Canteer", 8.67, 5
PRD, 59830, "Extra special lightly smoked salmon fillets 260g", 23.01, 8
PRD, 5334, "Tesco Swiss Style Muesli 750g", 18.06, 8
PRD, 6739, "Bisto Gravy Sauce Rosemary & Red Wine 30g", 9.09, 6
PRD, 6699, "TERRY'S CHOCOLATE Orange™ MILK £1.99 175g e", 12.31, 4
PRD, 8140, "Sainsbury's Organic Bunched Carrots", 21.67, 8
PRD, 1547, "Sainsbury's 4 Halloween Cup Cakes", 20.49, 2
PRD, 40705, "Lipfinity Colour & Gloss Shimmer Pink", 2.41, 1
PRD, 11325, "Blue Keld Spring Water Premium Ice Cubes 1kg", 15.32, 8
PRD, 6613, "Sainsbury's 2 Toffee Apple Crumbles with Custard 240g", 6.62, 9
PRD, 9840, "Sainsbury's Bio Perform 12 Gel Capsules", 25.29, 2
PRD, 21083, "0000050251414 Fruit Pastilles Tube", 1.72, 9
PRD, 13503, "Tesco Pure Canadian Maple Syrup 275g", 25.87, 1
PRD, 5208, "Simple Twin Oack Baby Soft Wipes 2 x 64", 25.20, 8
PRD, 58240, "6001660001714 Boschendal Shiraz 750ml - Product upgrade from ODGB001 to ADGB001", 6.74, 4
PRD, 44560, "McD Soup Tomato PM139 25Ptn", 24.15, 5
PRD, 46600, "2046631001762 Cornish Organic Brie", 4.02, 6
PRD, 27126, "0000050254309 HERO PREMIUM BLACKBERRY PRESERVE 310G", 11.18, 4
